10 пользователей с наибольшим трафиком:
  IP адрес пользователя            �?спользованный трафик
192.168.35.101               1355739099
192.168.34.2               1286713681
192.168.66.2               1282754757
192.168.44.3               1227965340
192.168.73.4               1160581312
192.168.35.254               1151512745
192.168.49.7               1128473073
192.168.66.12               1127823974
192.168.72.4               1055357547
192.168.93.1               1048110743


10 самых популярных сайтов:
  URL адрес                              Число вхождений
mail.radar.imgsmail.ru:443   54805
http://swa.mail.ru/cgi-bin/counters?   33857
rs.mail.ru:443   15562
http://www.google-analytics.com/__utm.gif?   15207
http://suggest.yandex.ru/suggest-ya.cgi?   14152
waerr.radar.imgsmail.ru:443   14125
jim40.mail.ru:443   14070
http://counter.yadro.ru/hit?   13929
http://www.microsofttranslator.com/officetrans/httpquery.aspx   13112
http://t3.gstatic.com/images?   12942
